"id","route","direction","priority","name","index","fraction","next_fraction"
2338,"104",1,27,"Ресторан ""Ялинка""",32983,0.664833994979972,0.694735766571614
2339,"104",1,28,"поворот на Довжик",33039,0.694735766571614,0.731102837226268
2340,"104",1,29,"вул. Сінна",33037,0.731102837226268,0.77728399470035
2341,"104",1,30,"с. Іванівка",33042,0.77728399470035,0.812169158868145
2342,"104",1,31,"вул. Садова",33053,0.812169158868145,0.881433068916459
2343,"104",1,32,"вул. Лісова",33051,0.881433068916459,0.916314366512653
2344,"104",1,33,"на вимогу",33049,0.916314366512653,0.948808481574628
2345,"104",1,34,"пров. Шкільний",33047,0.948808481574628,0.965353316549058
2346,"104",1,35,"вул. Шевченко",33046,0.965353316549058,0.999909482138488
2347,"104",1,36,"с. Іванівка (104)",33044,0.999909482138488,1
2186,"106",0,0,"с. Баришівка",33030,0.00075404034502558,0.02381600986857
2187,"106",0,1,"вул. Михайла Грушевського",33031,0.02381600986857,0.0459692391554872
2638,"H7",1,0,"Біомедскло",416,0.000231496426487275,0.0391567261194172
2188,"106",0,2,"на вимогу",33033,0.0459692391554872,0.0825522470456219
2189,"106",0,3,"вул. Садова",33035,0.0825522470456219,0.115450122081964
2190,"106",0,4,"с. Іванівка",33043,0.115450122081964,0.187518569937397
2191,"106",0,5,"поворот на Довжик",33040,0.187518569937397,0.207125281954265
2192,"106",0,6,"Ресторан ""Ялинка""",32984,0.207125281954265,0.235996091511374
2193,"106",0,7,"вул. Офіцерська",92,0.235996091511374,0.256545876467781
2194,"106",0,8,"Житичі",90,0.256545876467781,0.272052785852796
2195,"106",0,9,"вул. Романа Шухевича",86,0.272052785852796,0.294578798386056
2196,"106",0,10,"вул. Героїв Десантників",85,0.294578798386056,0.34029515799904
2197,"106",0,11,"Панчішна фабрика",82,0.34029515799904,0.359955303621515
2198,"106",0,12,"ринок ""Хмільники""",80,0.359955303621515,0.375938314692355
2199,"106",0,13,"майдан Визволення",79,0.375938314692355,0.406786442429085
2200,"106",0,14,"вул. Перемоги",70,0.406786442429085,0.421116999417362
2201,"106",0,15,"вул. Миколи Сціборського",68,0.421116999417362,0.430348756206335
2202,"106",0,16,"вул. Домбровського",66,0.430348756206335,0.4418650963633
2203,"106",0,17,"майдан Короленка",71,0.4418650963633,0.457772472850278
2204,"106",0,18,"вул. Ольжича",63,0.457772472850278,0.486648813284097
2205,"106",0,19,"пл. Перемоги",74,0.486648813284097,0.511124527249533
1371,"147",1,19,"вул. Миру",88,0.737894385030065,0.758656926723088
2206,"106",0,20,"вул. Покровська",209,0.511124527249533,0.52855580919057
2207,"106",0,21,"вул. Михайла Грушевського",32945,0.52855580919057,0.54584990217251
2208,"106",0,22,"вул. Небесної сотні",14,0.54584990217251,0.556241357935448
2209,"106",0,23,"вул. Хлібна",12,0.556241357935448,0.572698692507529
2210,"106",0,24,"вул. Князів Острозьких",9,0.572698692507529,0.59584238500457
2211,"106",0,25,"майдан Згоди",4,0.59584238500457,0.610261364317352
2212,"106",0,26,"ТЦ ""Глобал""",6,0.610261364317352,0.629451033568699
2213,"106",0,27,"Автовокзал",2,0.629451033568699,0.663935318019858
2214,"106",0,28,"вул. Нобелівська",239,0.663935318019858,0.67808839731786
2215,"106",0,29,"вул. Сергія Параджанова",428,0.67808839731786,0.696401298606405
2216,"106",0,30,"Школа №10",5711,0.696401298606405,0.718447198152481
2217,"106",0,31,"вул. Коростишівська",5713,0.718447198152481,0.76554489922858
2218,"106",0,32,"вул. Авіаторів",5714,0.76554489922858,0.828631254238735
2219,"106",0,33,"Автозаправна станція",5767,0.828631254238735,0.84853185485092
2220,"106",0,34,"Інститут сільского господарства",5771,0.84853185485092,0.912749135158365
2221,"106",0,35,"с. Глибочиця (2)",33029,0.912749135158365,0.961935499281676
2222,"106",0,36,"с. Глибочиця",33026,0.961935499281676,0.972767000027027
2223,"106",0,37,"вул. 40-річчя Перемоги",33020,0.972767000027027,0.981827582138983
2224,"106",0,38,"на вимогу",33019,0.981827582138983,0.999247700464734
2225,"106",0,39,"с. Глибочиця (вул. Житомирська)",33018,0.999247700464734,1
2226,"106",1,0,"с. Глибочиця (вул. Житомирська)",33018,2.7502785561014e-05,0.0144361991553966
2227,"106",1,1,"на вимогу",33022,0.0144361991553966,0.023909174892524
2228,"106",1,2,"вул. 40-річчя Перемоги",33021,0.023909174892524,0.0338032502040378
2229,"106",1,3,"на вимогу",33024,0.0338032502040378,0.0630362680105763
2230,"106",1,4,"с. Глибочиця",33023,0.0630362680105763,0.106222260057092
2231,"106",1,5,"с. Глибочиця (2)",33028,0.106222260057092,0.151833257795402
2232,"106",1,6,"Полісся",5717,0.151833257795402,0.169544991724403
2233,"106",1,7,"Інститут сільского господарства",5770,0.169544991724403,0.193143308025686
2234,"106",1,8,"Автозаправна станція",5766,0.193143308025686,0.227472901724534
2235,"106",1,9,"Ресторан ""Петроградъ""",5769,0.227472901724534,0.251067853787941
2236,"106",1,10,"вул. Авіаторів",5715,0.251067853787941,0.282042385651968
2237,"106",1,11,"на вимогу",5716,0.282042385651968,0.299601846272972
2238,"106",1,12,"вул. Коростишівська",5712,0.299601846272972,0.320179233011274
2239,"106",1,13,"Школа №10",5710,0.320179233011274,0.348291687607532
2240,"106",1,14,"ш. Київське",240,0.348291687607532,0.384318824588776
2241,"106",1,15,"Автовокзал",1,0.384318824588776,0.406870216829923
2242,"106",1,16,"ТЦ ""Глобал""",7,0.406870216829923,0.419929051277685
2243,"106",1,17,"майдан Згоди",5,0.419929051277685,0.426729606256671
2244,"106",1,18,"вул. Івана Мазепи",10,0.426729606256671,0.445235350089949
2245,"106",1,19,"вул. Князів Острозьких",8,0.445235350089949,0.452373150128813
2246,"106",1,20,"вул. Хлібна",11,0.452373150128813,0.458092120273408
2247,"106",1,21,"вул. Київська",5594,0.458092120273408,0.474229037696091
