date,route,n
2019-01-20,H2,208
2019-01-20,H3,211
2019-01-20,H4,81
2019-01-20,H5,246
2019-01-21,1,6410
2019-01-21,10,2521
2019-01-21,12,1564
2019-01-21,15A,5234
2019-01-21,2,6923
2019-01-21,3,7284
2019-01-21,4,3668
2019-01-21,4A,1243
2019-01-21,53,5490
2019-01-21,53A,6802
2019-01-21,5A,4063
2019-01-21,6,416
2019-01-21,7A,2118
2019-01-21,8,2032
2019-01-21,9,725
2019-01-21,91,8847
2019-01-21,H2,129
2019-01-21,H3,141
2019-01-21,H4,77
2019-01-21,H5,273
2019-01-22,1,7113
2019-01-22,10,2712
2019-01-22,12,1602
2019-01-22,15A,4796
2019-01-22,2,7807
2019-01-22,3,7391
2019-01-22,4,4082
2019-01-22,4A,1296
2019-01-22,53,5074
2019-01-22,53A,6786
2019-01-22,5A,3893
2019-01-22,6,432
2019-01-22,7A,2209
2019-01-22,8,1860
2019-01-22,9,733
2019-01-22,91,9207
2019-01-22,H2,164
2019-01-22,H3,190
2019-01-22,H4,111
2019-01-22,H5,290
2019-01-23,1,6052
2019-01-23,10,2836
2019-01-23,12,1566
2019-01-23,15A,5072
2019-01-23,2,7721
2019-01-23,3,7617
2019-01-23,4,3774
2019-01-23,4A,1106
2019-01-23,53,6014
2019-01-23,53A,7215
2019-01-23,5A,3842
2019-01-23,6,413
2019-01-23,7A,2234
2019-01-23,8,2286
2019-01-23,9,765
2019-01-23,91,8052
2019-01-23,H2,156
2019-01-23,H3,197
2019-01-23,H4,77
2019-01-23,H5,259
2019-01-24,1,6613
2019-01-24,10,2854
2019-01-24,12,1175
2019-01-24,15A,4379
2019-01-24,2,6279
2019-01-24,3,6197
2019-01-24,4,4348
2019-01-24,4A,1301
2019-01-24,53,5116
2019-01-24,53A,6876
2019-01-24,5A,4303
2019-01-24,6,494
2019-01-24,7,8
2019-01-24,7A,2008
2019-01-24,8,1897
2019-01-24,9,562
2019-01-24,91,9265
2019-01-24,H2,216
2019-01-24,H3,168
2019-01-24,H4,110
2019-01-24,H5,300
2019-01-25,1,6509
2019-01-25,10,2180
2019-01-25,12,1847
2019-01-25,15A,5056
2019-01-25,2,5880
2019-01-25,3,6229
