"route","stop_id","direction","date","transactions","geometry"
"15A",185,0,2018-08-06,145,"{""type"":""LineString"",""coordinates"":[[28.6701049335003,50.2584948459131],[28.67054,50.25868],[28.67133,50.25901],[28.672251,50.259407],[28.672789,50.259643],[28.673496,50.259953],[28.67365,50.26002],[28.67428,50.26028],[28.67476,50.26049],[28.675414,50.260772],[28.67581,50.260943],[28.67664,50.26129],[28.677095,50.261487],[28.6771259153746,50.2615003424248]]}"
"7A",2016,0,2018-08-08,48,"{""type"":""LineString"",""coordinates"":[[28.668465963807,50.2577904256766],[28.66782,50.25752],[28.6674,50.25739],[28.66676,50.25727],[28.66596,50.25713],[28.665457,50.257045],[28.664213,50.256837],[28.6638,50.25676],[28.663348,50.256652],[28.66334,50.25665],[28.6633272941177,50.2566468235294]]}"
H5,2579,0,2018-08-11,16,"{""type"":""LineString"",""coordinates"":[[28.6609341073477,50.255347651748],[28.660952,50.255306],[28.66113,50.25489],[28.661218,50.25467],[28.66129,50.25449],[28.6614,50.25423],[28.66144,50.25413],[28.66146,50.25403],[28.66151,50.253859],[28.66148,50.25268],[28.661474,50.25256],[28.66147,50.25249],[28.661453,50.252177],[28.66125,50.25219],[28.661003395697,50.2521969326511]]}"
"7A",2007,0,2018-08-06,68,"{""type"":""LineString"",""coordinates"":[[28.7116532415801,50.2669310599764],[28.711628,50.266949],[28.711425,50.267093],[28.7113,50.26718],[28.71094,50.26742],[28.710724,50.267571],[28.70936,50.26852],[28.70817,50.26938],[28.7079265910482,50.2695497575347]]}"
H2,2532,0,2018-08-08,1,"{""type"":""LineString"",""coordinates"":[[28.6640165905966,50.253687457245],[28.66401,50.253688],[28.66375,50.25371],[28.66362,50.25372],[28.66229,50.25383],[28.66151,50.253859],[28.66146,50.25403],[28.66144,50.25413],[28.6614,50.25423],[28.66129,50.25449],[28.6612250344828,50.2546524137931]]}"
"6",279,0,2018-08-07,13,"{""type"":""LineString"",""coordinates"":[[28.6869624495515,50.2656506902796],[28.68736,50.26582],[28.6885,50.26631],[28.68868,50.26639],[28.68886,50.26647],[28.688929,50.266525],[28.68926,50.26667],[28.68936,50.26671],[28.68942,50.26674],[28.6902,50.26708],[28.69068,50.26727],[28.69109,50.26746],[28.69117,50.26749],[28.69151,50.26764],[28.691655,50.267701],[28.691905,50.267805],[28.6919633953283,50.2678293786322]]}"
"2",909,1,2018-08-08,132,"{""type"":""LineString"",""coordinates"":[[28.6858113479381,50.2443652232507],[28.685769,50.244389],[28.685121,50.244754],[28.68456,50.24507],[28.68314,50.24583],[28.68301,50.2459],[28.68295,50.24593],[28.682143,50.246357],[28.681707,50.246587],[28.681245,50.246832],[28.68109,50.24691],[28.6807756476376,50.247079130426]]}"
"3",1219,0,2018-08-08,113,"{""type"":""LineString"",""coordinates"":[[28.6496705868076,50.2635430044089],[28.649689,50.263499],[28.64978,50.26328],[28.6499,50.263],[28.64997,50.26284],[28.65003,50.26271],[28.65006,50.26262],[28.65009,50.26252],[28.650132,50.262428],[28.6504,50.26223],[28.65054,50.26215],[28.65066,50.26209],[28.650763,50.262045],[28.65159,50.26171],[28.65237,50.2614],[28.65244,50.26137],[28.6531476505092,50.2610702445564]]}"
"12",157,0,2018-08-06,26,"{""type"":""LineString"",""coordinates"":[[28.6619723197348,50.259728673126],[28.662001,50.259692],[28.66201,50.25968],[28.66278,50.2587],[28.662878,50.258582],[28.663192,50.258206],[28.663797,50.258396],[28.664118,50.258501],[28.6641416898349,50.2585086766181]]}"
"53",1648,1,2018-08-11,1,"{""type"":""LineString"",""coordinates"":[[28.6565876937375,50.2788762710895],[28.656581,50.278896],[28.65649,50.27916],[28.65642,50.27936],[28.65635,50.27962],[28.65631,50.27976],[28.65629,50.27986],[28.65627,50.27993],[28.65625,50.28003],[28.65622,50.28015],[28.6562,50.28027],[28.65615,50.28049],[28.65612,50.28065],[28.6561,50.28078],[28.65609,50.28085],[28.6560133153075,50.2811872278645]]}"
"2",923,1,2018-08-10,16,"{""type"":""LineString"",""coordinates"":[[28.632494116771,50.279128068638],[28.632461,50.279134],[28.63159,50.27929],[28.6315,50.2793],[28.631142,50.279363],[28.630768,50.279429],[28.6293,50.27968],[28.62924,50.27969],[28.62701,50.28009],[28.62526,50.28041],[28.62463,50.28052],[28.62413,50.28059],[28.62393,50.28062],[28.62384,50.28064],[28.62375,50.28065],[28.62277,50.28082],[28.62267,50.28083],[28.62256,50.28085],[28.6222,50.28092],[28.61993,50.28137],[28.61965,50.28141],[28.618349,50.281645],[28.6181202579186,50.2816861221719]]}"
"6",294,1,2018-08-09,31,"{""type"":""LineString"",""coordinates"":[[28.7011800482129,50.2718016091245],[28.700927,50.271691],[28.70049,50.2715],[28.69996,50.27128],[28.69973,50.27118],[28.69751,50.27021],[28.69674,50.26988],[28.696112,50.269612],[28.695303,50.269282],[28.694363,50.268879],[28.693976,50.268758],[28.693824,50.268692],[28.69374,50.26865],[28.69364,50.26861],[28.6935,50.26854],[28.69338,50.26849],[28.69296,50.268313],[28.69276,50.26817],[28.69265,50.26811],[28.692615,50.268096],[28.69242,50.26802],[28.691905,50.267805],[28.691655,50.267701],[28.6916000082842,50.267677865554]]}"
H4,2563,1,2018-08-08,0,"{""type"":""LineString"",""coordinates"":[[28.6565716104674,50.2933582111704],[28.65659,50.29342],[28.65664,50.29361],[28.6567,50.29385],[28.65683,50.29415],[28.65693,50.29442],[28.657126,50.294962],[28.65722,50.29522],[28.65727,50.29534],[28.65746,50.29582],[28.65756,50.29603],[28.65766,50.29605],[28.657738,50.296083],[28.65782,50.29612],[28.65798,50.29621],[28.65807,50.29626],[28.65809,50.29628],[28.65811,50.2963],[28.658133,50.296317],[28.65813,50.29632],[28.65814,50.29635],[28.65813,50.29638],[28.65812,50.2964],[28.65811,50.29641],[28.65808,50.29643],[28.65805,50.29645],[28.657999,50.296465],[28.657905,50.296497],[28.65779,50.29636],[28.65767,50.29621],[28.657647,50.296175]]}"
"12",164,1,2018-08-09,70,"{""type"":""LineString"",""coordinates"":[[28.6575772829278,50.2691865165373],[28.657574,50.269206],[28.65757,50.26923],[28.65756,50.26935],[28.65756,50.26943],[28.65756,50.26951],[28.65756,50.26967],[28.65759,50.26991],[28.65764,50.27053],[28.65764,50.27057],[28.65774,50.27159],[28.657819,50.272483],[28.65785,50.27283],[28.65788,50.273086],[28.6578804905368,50.2730901940893]]}"
"3",1261,1,2018-08-12,0,"{""type"":""LineString"",""coordinates"":[[28.5937705411765,50.2858554352941],[28.593804,50.285848]]}"
"3",1220,0,2018-08-07,136,"{""type"":""LineString"",""coordinates"":[[28.6531476505092,50.2610702445564],[28.653186,50.261054],[28.653297,50.261006],[28.65343,50.26095],[28.65359,50.26088],[28.65367,50.26084],[28.65374,50.2608],[28.653848,50.260721],[28.65413,50.26036],[28.65439,50.26],[28.65507,50.2591],[28.65582,50.258097],[28.65631,50.25751],[28.65656,50.2572],[28.65676,50.25696],[28.6569,50.25678],[28.656989,50.256675],[28.65717,50.25646],[28.657299,50.256306],[28.65779,50.25646],[28.65791,50.256499],[28.65822,50.2566],[28.658721,50.256747],[28.659003,50.256838],[28.6590392009214,50.2568497736793]]}"
"12",163,1,2018-08-06,105,"{""type"":""LineString"",""coordinates"":[[28.6583517307864,50.2650205575889],[28.65835,50.265031],[28.65829,50.26539],[28.65818,50.266],[28.65808,50.26652],[28.65808,50.26658],[28.65802,50.26688],[28.657901,50.267658],[28.65779,50.26807],[28.65766,50.26874],[28.65762,50.26893],[28.65762,50.268933],[28.6575772829278,50.2691865165373]]}"
"53A",1570,0,2018-08-06,12,"{""type"":""LineString"",""coordinates"":[[28.6924775510225,50.2400650274125],[28.692504,50.240047],[28.69272,50.2399],[28.69298,50.23973],[28.693827,50.239202],[28.6952791334125,50.2383160343718]]}"
"10",133,1,2018-08-08,24,"{""type"":""LineString"",""coordinates"":[[28.6739174085494,50.2730934797896],[28.67371,50.27301],[28.67346,50.27293],[28.67315,50.27284],[28.67277,50.27273],[28.6725,50.27267],[28.67216,50.2726],[28.67189,50.27255],[28.67167,50.27252],[28.67147,50.2725],[28.67125,50.27248],[28.67102,50.27246],[28.67079,50.27246],[28.67011,50.27245],[28.66955,50.27248],[28.66892,50.27252],[28.6674100528959,50.2727192973096]]}"
"2",888,0,2018-08-12,73,"{""type"":""LineString"",""coordinates"":[[28.6496705868076,50.2635430044089],[28.649689,50.263499],[28.64978,50.26328],[28.6499,50.263],[28.64997,50.26284],[28.65003,50.26271],[28.65006,50.26262],[28.65009,50.26252],[28.650132,50.262428],[28.6504,50.26223],[28.65054,50.26215],[28.65066,50.26209],[28.650763,50.262045],[28.65159,50.26171],[28.65237,50.2614],[28.65244,50.26137],[28.6531476505092,50.2610702445564]]}"
"9",79,1,2018-08-07,13,"{""type"":""Point"",""coordinates"":[28.613074,50.239265]}"
"1",445,0,2018-08-08,93,"{""type"":""LineString"",""coordinates"":[[28.6734783092513,50.2599452430946],[28.672789,50.259643],[28.672251,50.259407],[28.67133,50.25901],[28.67054,50.25868],[28.670063,50.258477],[28.66974,50.25834],[28.66954,50.25825],[28.669365,50.258168],[28.66916,50.25808],[28.668496,50.257803],[28.668465963807,50.2577904256766]]}"
"8",2077,0,2018-08-11,14,"{""type"":""LineString"",""coordinates"":[[28.7036886372486,50.2338668473739],[28.703723,50.233843],[28.70393,50.2337],[28.70495,50.23302],[28.70539,50.23273],[28.70567,50.23254],[28.70605,50.23229],[28.70625,50.23216],[28.70656,50.23196],[28.7069,50.23174],[28.70739,50.23143],[28.70773,50.2312],[28.70781,50.23115],[28.708146,50.230935],[28.70867,50.2306],[28.7088589004231,50.2304786878017]]}"
"10",141,1,2018-08-07,12,"{""type"":""LineString"",""coordinates"":[[28.6128355535419,50.2826607515981],[28.612801,50.282667],[28.612586,50.282706],[28.612048,50.282803],[28.610267,50.283123],[28.6098876274362,50.2831909747451]]}"
"5A",1969,0,2018-08-07,42,"{""type"":""Point"",""coordinates"":[28.613074,50.239265]}"
"12",152,0,2018-08-07,104,"{""type"":""LineString"",""coordinates"":[[28.656799617128,50.2782707925632],[28.656808,50.278247],[28.65705,50.27756],[28.6572,50.27714],[28.65727,50.27695],[28.65732,50.2768],[28.65761,50.27596],[28.65779,50.27546],[28.6578802131984,50.2751947731967]]}"
"4",1535,1,2018-08-08,71,"{""type"":""LineString"",""coordinates"":[[28.6575772829278,50.2691865165373],[28.657574,50.269206],[28.65757,50.26923],[28.65756,50.26935],[28.65756,50.26943],[28.65756,50.26951],[28.65756,50.26967],[28.65759,50.26991],[28.65764,50.27053],[28.65764,50.27057],[28.65774,50.27159],[28.657819,50.272483],[28.65785,50.27283],[28.65788,50.273086],[28.6578804905368,50.2730901940893]]}"
