"i","n","d","x","y","tk","route"
2,"Автовокзал",0,28.692022,50.267689,"trol","6"
239,"вул. Нобелівська",0,28.700989,50.271633,"trol","6"
162,"вул. Сергія Параджанова",0,28.704216,50.272068,"trol","6"
165,"на вимогу",0,28.70734,50.269844,"trol","6"
166,"Тарний комбінат",0,28.710674,50.267541,"trol","6"
169,"вул. Кооперативна",0,28.714448,50.264891,"trol","6"
170,"вул. Металістів",0,28.718721,50.261852,"trol","6"
180,"ЗОК",0,28.721912,50.259636,"trol","6"
179,"ЗОК",1,28.721199,50.260434,"trol","6"
171,"вул. Металістів",1,28.718313,50.262379,"trol","6"
168,"вул. Кооперативна",1,28.714967,50.26481,"trol","6"
167,"Тарний комбінат",1,28.711693,50.266987,"trol","6"
164,"на вимогу",1,28.70797,50.269612,"trol","6"
163,"вул. Новогоголівська",1,28.705044,50.271664,"trol","6"
240,"ш. Київське",1,28.701113,50.271955,"trol","6"
1,"Автовокзал",1,28.691544,50.267811,"trol","6"
7,"ТЦ ""Глобал""",1,28.68554,50.265249,"trol","6"
3,"майдан Згоди",1,28.682362,50.264343,"trol","6"
155,"вул. Михайла Грушевського",1,28.679703,50.266159,"trol","6"
157,"вул. Князів Острозьких",1,28.672539,50.263573,"trol","6"
159,"вул. Небесної сотні",1,28.668792,50.262363,"trol","6"
32996,"вул. Небесної сотні",1,28.665929,50.26146,"trol","6"
97,"вул. Покровська",1,28.661357,50.260779,"trol","6"
99,"вул. Лесі Українки",1,28.658463,50.265039,"trol","6"
101,"Сінний ринок",1,28.657776,50.26922,"trol","6"
104,"пров. 2-й Капітульний",1,28.657942,50.273083,"trol","6"
106,"пр. Незалежності",1,28.658119,50.27486,"trol","6"
27780,"вул. Героїв Чорнобиля",1,28.656693,50.278912,"trol","6"
109,"Агротехнічний коледж",1,28.656219,50.281234,"trol","6"
111,"Стоматологічна поліклініка",1,28.655584,50.285175,"trol","6"
112,"вул. Северина Наливайка",1,28.655837,50.289788,"trol","6"
115,"вул. Гранітна",1,28.6567,50.29332,"trol","6"
118,"м/н Крошня",1,28.657448,50.29623,"trol","6"
82,"Панчішна фабрика",0,28.631087,50.279235,"marshrutka","1"
80,"ринок ""Хмільники""",0,28.636594,50.278265,"marshrutka","1"
408,"вул. Олександра Клосовського",0,28.634933,50.275822,"marshrutka","1"
403,"вул. Сурина Гора, 30",0,28.6334,50.274212,"marshrutka","1"
262,"бул. Польський",0,28.629893,50.272163,"marshrutka","1"
405,"пров. 2-й Хмельовий",0,28.633653,50.269523,"marshrutka","1"
406,"пров. 1-й Винокурний",0,28.638426,50.269295,"marshrutka","1"
402,"вул. Котляревського",0,28.642313,50.269497,"marshrutka","1"
260,"вул. Чехова",0,28.64459,50.268986,"marshrutka","1"
66,"вул. Домбровського",0,28.648611,50.266636,"marshrutka","1"
71,"майдан Короленка",0,28.649477,50.263462,"marshrutka","1"
63,"вул. Ольжича",0,28.653109,50.260979,"marshrutka","1"
77,"пл. Перемоги",0,28.657405,50.255962,"marshrutka","1"
44,"Автомобільно-дорожний коледж",0,28.660893,50.253921,"marshrutka","1"
23,"пл. Корольова",0,28.66616,50.253374,"marshrutka","1"
27,"Старий Бульвар",0,28.670425,50.251266,"marshrutka","1"
28,"Університет ім. Івана Франка",0,28.674731,50.249603,"marshrutka","1"
33,"вул. Довженка",0,28.681618,50.246518,"marshrutka","1"
