"vehicle","chunk","direction","fraction","start_datetime","transactions","group"
"1685TH",731,0,0.27568910775833,2018-08-09 06:29:13,8,"53A-1685TH-26"
"1680TH",729,0,1,2018-08-09 06:29:20,0,"53A-1680TH-25"
"1679TH",691,0,0.72450095762779,2018-08-09 06:30:06,0,"53A-1679TH-24"
"1685TH",732,0,0.303546717999246,2018-08-09 06:30:31,1,"53A-1685TH-26"
"1688TH",1327,0,0.0277933531603601,2018-08-09 06:30:56,4,"53A-1688TH-49"
"1679TH",692,0,0.756451241285734,2018-08-09 06:31:05,0,"53A-1679TH-24"
"1688TH",1328,0,0.0478655626924459,2018-08-09 06:31:58,3,"53A-1688TH-49"
"1675TH",727,0,0,2018-08-09 06:32:00,0,"53A-1675TH-25"
"1685TH",733,0,0.330339619731935,2018-08-09 06:32:14,0,"53A-1685TH-26"
"1679TH",693,0,0.788738905316075,2018-08-09 06:32:37,1,"53A-1679TH-24"
"1685TH",734,0,0.353042026482814,2018-08-09 06:32:40,0,"53A-1685TH-26"
"1688TH",1329,0,0.0905133404024285,2018-08-09 06:32:54,0,"53A-1688TH-49"
"1679TH",694,0,0.828473509197723,2018-08-09 06:33:13,0,"53A-1679TH-24"
"1688TH",1330,0,0.131432738320303,2018-08-09 06:33:31,0,"53A-1688TH-49"
"1685TH",735,0,0.382218362558675,2018-08-09 06:33:48,0,"53A-1685TH-26"
"1679TH",695,0,0.855617245750311,2018-08-09 06:33:51,0,"53A-1679TH-24"
"1688TH",1331,0,0.150345576559304,2018-08-09 06:34:52,1,"53A-1688TH-49"
"1679TH",696,0,0.901893539482529,2018-08-09 06:35:13,0,"53A-1679TH-24"
"1685TH",736,0,0.419525325172209,2018-08-09 06:35:22,2,"53A-1685TH-26"
"1688TH",1332,0,0.180026941254668,2018-08-09 06:36:05,2,"53A-1688TH-49"
"1688TH",1333,0,0.199647439157132,2018-08-09 06:36:34,0,"53A-1688TH-49"
"1679TH",697,0,0.946294086999221,2018-08-09 06:37:27,8,"53A-1679TH-24"
"1688TH",1334,0,0.212241876376867,2018-08-09 06:37:30,0,"53A-1688TH-49"
"1685TH",737,0,0.46842518672297,2018-08-09 06:37:32,0,"53A-1685TH-26"
"1685TH",738,0,0.49080474825121,2018-08-09 06:39:14,0,"53A-1685TH-26"
"1685TH",739,0,0.505955643506436,2018-08-09 06:39:37,0,"53A-1685TH-26"
"1679TH",698,0,1,2018-08-09 06:39:43,3,"53A-1679TH-24"
"1688TH",1335,0,0.247936630804854,2018-08-09 06:40:00,7,"53A-1688TH-49"
"1685TH",740,0,0.533187881045543,2018-08-09 06:40:35,0,"53A-1685TH-26"
"1685TH",741,0,0.584801297549189,2018-08-09 06:42:04,0,"53A-1685TH-26"
"1688TH",1336,0,0.27568910775833,2018-08-09 06:42:19,3,"53A-1688TH-49"
"1685TH",742,0,0.624291894632294,2018-08-09 06:43:22,0,"53A-1685TH-26"
"1675TH",728,0,0.0277933531603601,2018-08-09 06:43:33,5,"53A-1675TH-25"
"1688TH",1337,0,0.303546717999246,2018-08-09 06:43:53,3,"53A-1688TH-49"
"1685TH",743,0,0.662185613658879,2018-08-09 06:44:35,0,"53A-1685TH-26"
"1675TH",729,0,0.0478655626924459,2018-08-09 06:44:52,3,"53A-1675TH-25"
"1688TH",1338,0,0.330339619731935,2018-08-09 06:45:17,2,"53A-1688TH-49"
"1688TH",1339,0,0.353042026482814,2018-08-09 06:45:45,0,"53A-1688TH-49"
"1675TH",730,0,0.0905133404024285,2018-08-09 06:45:50,0,"53A-1675TH-25"
"1685TH",744,0,0.72450095762779,2018-08-09 06:46:49,0,"53A-1685TH-26"
"1675TH",731,0,0.131432738320303,2018-08-09 06:46:52,0,"53A-1675TH-25"
"1688TH",1340,0,0.382218362558675,2018-08-09 06:46:56,1,"53A-1688TH-49"
"1675TH",732,0,0.150345576559304,2018-08-09 06:47:56,3,"53A-1675TH-25"
"1685TH",745,0,0.756451241285734,2018-08-09 06:48:09,0,"53A-1685TH-26"
"1688TH",1341,0,0.419525325172209,2018-08-09 06:48:39,1,"53A-1688TH-49"
"1675TH",733,0,0.180026941254668,2018-08-09 06:48:51,1,"53A-1675TH-25"
"1675TH",734,0,0.199647439157132,2018-08-09 06:49:13,0,"53A-1675TH-25"
"1685TH",746,0,0.788738905316075,2018-08-09 06:49:30,5,"53A-1685TH-26"
"1675TH",735,0,0.212241876376867,2018-08-09 06:49:32,0,"53A-1675TH-25"
"1685TH",747,0,0.828473509197723,2018-08-09 06:50:29,1,"53A-1685TH-26"
"1688TH",1342,0,0.46842518672297,2018-08-09 06:50:39,0,"53A-1688TH-49"
"1688TH",1343,0,0.49080474825121,2018-08-09 06:51:12,0,"53A-1688TH-49"
"1685TH",748,0,0.855617245750311,2018-08-09 06:51:24,2,"53A-1685TH-26"
"1688TH",1344,0,0.505955643506436,2018-08-09 06:51:31,0,"53A-1688TH-49"
"1675TH",736,0,0.247936630804854,2018-08-09 06:51:49,8,"53A-1675TH-25"
"1688TH",1345,0,0.533187881045543,2018-08-09 06:52:50,0,"53A-1688TH-49"
"1685TH",749,0,0.901893539482529,2018-08-09 06:52:57,0,"53A-1685TH-26"
"1675TH",737,0,0.27568910775833,2018-08-09 06:53:30,5,"53A-1675TH-25"
"1675TH",738,0,0.303546717999246,2018-08-09 06:54:40,1,"53A-1675TH-25"
"1688TH",1346,0,0.584801297549189,2018-08-09 06:55:00,0,"53A-1688TH-49"
"1676TH",431,0,0,2018-08-09 06:55:07,0,"53A-1676TH-15"
"1685TH",750,0,0.946294086999221,2018-08-09 06:55:17,6,"53A-1685TH-26"
"1675TH",739,0,0.330339619731935,2018-08-09 06:55:40,0,"53A-1675TH-25"
"1675TH",740,0,0.353042026482814,2018-08-09 06:56:04,0,"53A-1675TH-25"
"1688TH",1347,0,0.624291894632294,2018-08-09 06:56:30,1,"53A-1688TH-49"
"1675TH",741,0,0.382218362558675,2018-08-09 06:57:16,3,"53A-1675TH-25"
"1685TH",751,0,1,2018-08-09 06:57:20,2,"53A-1685TH-26"
"1688TH",1348,0,0.662185613658879,2018-08-09 06:57:56,0,"53A-1688TH-49"
"1675TH",742,0,0.419525325172209,2018-08-09 06:59:01,3,"53A-1675TH-25"
"1688TH",1349,0,0.72450095762779,2018-08-09 06:59:58,0,"53A-1688TH-49"
"1675TH",743,0,0.46842518672297,2018-08-09 07:00:37,0,"53A-1675TH-25"
"1675TH",744,0,0.49080474825121,2018-08-09 07:01:23,0,"53A-1675TH-25"
"1688TH",1350,0,0.756451241285734,2018-08-09 07:01:23,0,"53A-1688TH-49"
"1675TH",745,0,0.505955643506436,2018-08-09 07:01:42,0,"53A-1675TH-25"
"1688TH",1351,0,0.788738905316075,2018-08-09 07:02:37,0,"53A-1688TH-49"
"1688TH",1352,0,0.828473509197723,2018-08-09 07:03:11,0,"53A-1688TH-49"
"1675TH",746,0,0.533187881045543,2018-08-09 07:03:40,1,"53A-1675TH-25"
"1688TH",1353,0,0.855617245750311,2018-08-09 07:04:36,0,"53A-1688TH-49"
"1675TH",747,0,0.584801297549189,2018-08-09 07:05:10,0,"53A-1675TH-25"
"1688TH",1354,0,0.901893539482529,2018-08-09 07:06:12,0,"53A-1688TH-49"
"1675TH",748,0,0.624291894632294,2018-08-09 07:06:40,0,"53A-1675TH-25"
"1676TH",432,0,0.0277933531603601,2018-08-09 07:07:15,9,"53A-1676TH-15"
"1680TH",758,0,0,2018-08-09 07:07:17,0,"53A-1680TH-27"
"1675TH",749,0,0.662185613658879,2018-08-09 07:07:53,0,"53A-1675TH-25"
"1676TH",433,0,0.0478655626924459,2018-08-09 07:08:04,1,"53A-1676TH-15"
"1688TH",1355,0,0.946294086999221,2018-08-09 07:08:14,2,"53A-1688TH-49"
"1676TH",434,0,0.0905133404024285,2018-08-09 07:09:26,4,"53A-1676TH-15"
"1675TH",750,0,0.72450095762779,2018-08-09 07:09:27,0,"53A-1675TH-25"
"1688TH",1356,0,1,2018-08-09 07:10:26,1,"53A-1688TH-49"
"1676TH",435,0,0.131432738320303,2018-08-09 07:10:29,2,"53A-1676TH-15"
"1675TH",751,0,0.756451241285734,2018-08-09 07:11:08,1,"53A-1675TH-25"
"1676TH",436,0,0.150345576559304,2018-08-09 07:11:33,4,"53A-1676TH-15"
"1676TH",437,0,0.180026941254668,2018-08-09 07:12:33,2,"53A-1676TH-15"
"1676TH",438,0,0.199647439157132,2018-08-09 07:12:57,0,"53A-1676TH-15"
"1675TH",752,0,0.788738905316075,2018-08-09 07:13:13,3,"53A-1675TH-25"
"1675TH",753,0,0.828473509197723,2018-08-09 07:13:42,0,"53A-1675TH-25"
"1676TH",439,0,0.212241876376867,2018-08-09 07:14:25,8,"53A-1676TH-15"
"1675TH",754,0,0.855617245750311,2018-08-09 07:15:15,4,"53A-1675TH-25"
"1676TH",440,0,0.247936630804854,2018-08-09 07:16:14,7,"53A-1676TH-15"
"1679TH",727,0,0,2018-08-09 07:16:25,0,"53A-1679TH-26"
"1675TH",755,0,0.901893539482529,2018-08-09 07:16:50,4,"53A-1675TH-25"
"1676TH",441,0,0.27568910775833,2018-08-09 07:18:11,11,"53A-1676TH-15"
"1675TH",756,0,0.946294086999221,2018-08-09 07:19:28,8,"53A-1675TH-25"
"1680TH",759,0,0.0277933531603601,2018-08-09 07:19:44,8,"53A-1680TH-27"
"1676TH",442,0,0.303546717999246,2018-08-09 07:20:16,7,"53A-1676TH-15"
